Split,Molecular Weight (MW),CharVol (characteristic volume),Flexibility (number of rotatable bonds / number of bonds),Number of Heavy Atoms (HA),RingAtoms,Halogens,HeteroAtoms,RotBonds (NRotB),AllBonds,RingCount,NumStereo,Fraction of sp3 Carbon Atoms (FSP3),Hydrogen Bond Donors (HBD),Hydrogen Bond Acceptors (HBA),cLogD^7.4,Topological polar surface area (TPSA),Total non-polar surface area (TNSA)
1,0.036856194805136314,0.03599008355261819,0.010772310605444136,0.04434194202544739,-0.13798088599988034,0.003926221657551276,-0.02493637735650973,-0.08060118405938403,0.0457546640062104,-0.13520312589297045,0.0354120044973697,0.023309005710143584,-0.046394007338308604,0.050755741990731615,0.0675295685487413,-0.07967299728615715,0.025794188626990854
2,-0.029880989947036796,-0.03326333016244154,0.2221491980336041,-0.026688126418863378,0.08376414942245347,-0.005196981335722883,-0.013488646816870519,0.02007381373106427,-0.022163253052281763,0.07441071822497916,-0.01774537058835427,-0.07203119144427472,0.0040901480757084,0.0837572217815173,0.021617805149658498,0.030793308748130067,-0.017129890304731464
3,-0.042475955076610325,-0.0342403117077531,0.07184137452344848,-0.022981333943564008,-0.04101433610735226,-0.08233691332032782,-0.05138102304261314,-0.021824047981200457,-0.014161756772569123,-0.017302630968195575,-0.03491503804302283,-0.13089248143341764,-0.00017321621392440978,0.047476555096535165,0.0009504559100553367,0.03674392563302338,0.00015397565724262208
4,-0.12874167888546445,-0.1645480866763604,0.2797364936472809,-0.10142942200125957,0.03823858142903456,-0.038135238955635864,-0.0318705712821313,0.2835632767092456,-0.13519110527346212,0.005107964270672738,0.035707583122061126,-0.3732998935081083,-0.037347404699780984,0.12336156061233412,-0.09930832865566269,0.01798213880427978,-0.14441390333094972
5,0.050710595749338075,0.06157812325879597,0.042293631138708807,0.06836829964755693,0.14327712935319908,0.0010969059146238801,-0.011689144042957445,-0.06989867863204627,0.10758170006378669,0.21142540049666803,-0.20232954931527547,-0.22991345634522387,-0.017382465136507496,-0.07499531680216905,0.32931874084817486,-0.012012553085753951,0.14304776607712055
6,0.024831288697165155,0.025190050544726762,0.00763050197844739,0.02770605302390512,0.08065206693320932,0.012810710636458954,-0.02654868320428234,-0.0328925905319347,0.0397063446918956,0.10995730637836906,0.04415915603758038,-0.057736625914266884,-0.1476312516137931,-0.05807588724649547,0.1595756800686781,-0.07863912919282402,0.06289556371715457
7,-0.013734109821978268,-0.01563720734321846,0.15611135780251442,-0.011773053142514155,0.06254196550802785,-0.0004202272354679182,-0.0022234718434408275,0.0431567080856494,-0.009355454035504186,0.05427293686333066,-0.0003449328733730828,-0.015965027149411327,0.009386356550405272,0.039663019141517875,0.018990932888115798,0.011395791852078053,-0.0023084117485972612
8,0.008418423857559509,0.0034576200942082135,0.13301475668677357,0.013970338191136966,-0.04256264000396862,0.029792589288529226,0.0004270788481080867,0.0301459620046692,0.022826635390297934,-0.03030640698234006,0.015462110441826892,-0.0600455410553619,0.0046597849318640635,0.005339649704283389,0.2211221955847092,0.002946946541697637,0.06668696669175926
9,-0.00388281931461687,-0.0023315967255818416,0.05986517230863584,-0.0032974734408623306,0.09338906448336541,0.013209519727298624,0.006459281633680325,0.025557296560959987,-0.0025504944099165707,0.09006231358139767,0.004860314233470509,-0.015243208069239223,-0.011501249405026958,0.00835871299218618,0.023430213259442077,0.00921810042195258,0.014536039525916722
10,0.024137413699658838,0.02075140335558241,0.5260012121269633,0.025592719878951807,0.004619347712235489,0.041805797951285285,0.005046441133674607,0.0239822346650549,0.027517907384504537,0.0216229063124469,-0.010422464639881779,-0.05560651398550518,7.524014894620956e-05,0.0446999870484995,0.15922131488921062,-0.0013637026549580989,0.03876090209758391
11,-0.053424397456404614,-0.043279495062736276,-0.11811354232152142,-0.06271490041096223,-0.28721995257306365,0.010826691790929566,0.008378604476915585,0.01915161652120939,-0.10848566598386815,-0.31203164932662797,0.0010038845206962854,-0.005191630917629464,-0.03895250968251755,-0.02242997909105431,-0.052905653069859296,-0.014992166019610554,-0.16570428440626334
12,-0.00022872132920526145,0.009278677571901017,-0.0783878463591637,0.013500301713589336,-0.314783879951767,-0.38485338501880106,-0.303128056700275,-0.04482912659473539,0.029520492965210355,-0.32612320276069984,-0.02273418187836047,-0.0064221128778679136,-0.03240051270318371,0.027187478838676914,0.15543405115259532,-0.008681908455501607,0.05358555716246005
13,-0.023419736542776348,-0.01998108283008454,0.0014745393947093622,-0.04422501636792655,-0.15101032447664126,0.008817033024670518,0.008833900771160464,0.05764135503680715,-0.07218870989451928,-0.1409900979482902,0.0015183281926124947,-0.01054197575087883,-0.031072678902234075,0.006598032795475095,0.030596371503122898,0.008896784641541589,-0.08911732810138392
14,-0.09333990634793184,-0.11272027964168681,-0.010382951872723556,-0.09005159096291444,-0.5687293292040148,-0.008099997101120105,-0.01554270001946314,0.18365124812104744,-0.18052954458293324,-0.7003728127679348,-0.20223971299985868,0.01172335127671591,-0.06326018170551935,0.01867745860405008,-0.3681307875395855,-0.01798542971493724,-0.43088781961748934
15,-0.04357157876170046,-0.05165981553266803,0.22627547888822122,-0.027988114967249643,0.05621741728722416,0.0035409838929262084,0.00011113610337016855,0.005681350400069252,-0.027213666454895136,0.04178792255003176,-0.07738627384092592,-0.21245730189668502,-0.004329152704034223,0.13508873155017093,-0.01939451939263188,0.014912387489961576,-0.042880708106984924
16,-0.15771906000645514,-0.13744331431153572,-0.07586444623923491,-0.22709189601865107,-0.22845846383266447,-0.04578153361898087,0.00044091363975349294,0.15530968935152462,-0.28546720208417725,-0.24750966919079725,0.0033375810865125645,-0.014596285261274766,0.16655084928752278,0.05404635541194549,-0.26187918214285827,0.015302868877086585,-0.327794744839104
17,0.04238508095278217,0.046426945626920846,-0.018789701414365957,0.0475683868018673,-0.04870762815991646,-0.020269585421791535,-0.031191855191427087,-0.04036829830023745,0.06162361018889018,-0.004397427960926991,-0.016372229072026356,-0.11420176257483199,-0.005374644452384359,0.0398877743618334,0.23440083833358855,0.021845226785569837,0.10398444761897108
18,0.00019954158573701753,-0.0035965995621166313,0.1145958622315211,-0.0008410224873797278,0.04220619103042246,-0.0072447828145487895,0.0034427926454690173,0.028426513201482317,-0.0005653891078447937,0.04393299361277274,-0.0013504829967259213,-0.020756545690468052,0.0039601465552493555,0.05042571794256965,0.05373998049446556,0.027112401536537045,0.009172869337187861
19,0.0027272718761823687,0.002789039819102124,0.10210562055607789,0.0034777224160788545,0.08838448199163348,0.007982263327560246,0.0018093569354985628,0.04665132572891898,0.009185838105937339,0.07246339662580174,0.0034606735016239564,-0.023147905002354842,-0.0009675835140642963,0.03595247677815355,0.030090145381601374,0.02141139009516597,0.050312817544345655
20,0.09577392077643251,0.0851343708498568,-0.2268825294343042,0.12462529445348958,0.06765586426782325,-0.008997356041797433,-0.053458108516584724,-0.2360619201277654,0.15542446325678774,0.10705767594846778,0.06545390963831894,-0.054190254821483895,-0.5469328281417782,-0.4238105235975998,0.14790799547936412,-0.38691413064068214,0.1022594769921101
21,0.0567016437337748,0.03832208833956665,0.0010439957114459554,0.06637521178891781,0.05120155422163939,0.06874538720959164,-0.0003403638202716497,-0.12708848314155624,0.09521282560434563,0.15302110563470084,-0.30416956441749654,-0.3931303289629071,0.004457346936057416,-0.035119037246221695,0.4165588720028094,0.004376168860025809,0.11936526100740422
22,-0.0389646701508804,-0.053819523642478675,0.07983250572168678,-0.011194181362533551,0.036564085043522855,-0.005223806705847378,0.037564009773017916,0.07238187336669674,-0.023694211012877643,0.06040403412822941,-0.03453985119143325,-0.2044489988327177,-0.0035220361326291916,0.06400865559234781,-0.0163949946669363,0.007318921103749487,0.011130925922537383
23,0.006501712257483449,0.007471834899566643,0.12965392741710238,0.006740489333124022,0.021428718774310886,-0.010275894445923538,-0.015051172175090244,0.038373879400619294,0.011711155144215956,0.011262318436654262,-0.003503146924545941,-0.10956532108657609,-0.006056589297724446,0.02697019586947482,0.01529036597029627,0.0031398988275995743,0.025069289837784125
24,-0.014123308051541595,-0.018001047715615913,0.3482917624691747,-0.008742215144952858,0.03490136863175478,0.008597147476056189,0.004714712534993737,0.024899141134584347,0.000643082607394363,0.052315370671941586,0.006691930239908261,-0.09028437935461789,0.008197721697627081,0.1440479465578734,0.003175366499432153,0.024791627628103486,-0.008451564561850278
25,-0.017136312930793318,-0.026919147908108378,0.592764385647547,-0.01075535447380076,0.06604847235105708,0.007522626308407632,0.003956508989391472,0.07480334170198147,-0.006862859382806485,0.06109813149160557,0.0010221443976577648,-0.18493564282459998,0.04842272506738915,0.13299374679969495,0.008321262297636212,-0.006460436429569005,-0.023247179334404733
26,0.037096591166987346,0.03252481030503451,0.003131710730951265,0.0381928807519553,-0.11277496376376886,0.09678480967101591,-0.031211349767701135,-0.034791069289201094,0.04397071613987251,-0.086016348591462,0.02602331757570008,-0.13005614807439114,0.018402106138198294,0.09009328814783527,0.1391653005028739,0.050616212639048266,0.073918302643218
27,0.002020852402543083,-0.005493200072112158,0.009647444704510354,0.0014327727735220508,-0.28248442907993193,-0.49251007452780665,-0.10515176824601942,0.027067836833452152,-0.0029109803882858775,-0.2883154301076311,-0.02596815045712373,-0.03444664274357354,0.00039990069166901955,0.030586374462888276,0.12116900999879932,0.010395390028498652,0.03674725786033164
28,0.015040332080379004,0.013237871340607176,0.10090064064093025,0.003992471390987751,0.06268432998447074,0.00025735142474681005,0.030859957877950105,0.024350146209298994,0.00995042517459831,0.053551303330934975,-0.002308140894318522,-0.09718542745292921,-0.0026110583743811145,0.019871678368460256,0.04651397460909518,0.008454536267551637,0.04458452103341857
29,-0.04725203836029999,-0.03625697350697712,0.2410301132020547,-0.03417377532705581,0.07414193109739872,-0.10359728736144751,-0.004125329958742485,0.1618836950694546,-0.033328978523059584,0.07149376265453329,-0.026119641139668116,-0.18183469918179251,-0.00765193377082527,0.017363905624652464,-0.044631894917967416,-0.029138636957483543,-0.05632645329094803
30,-0.025740972653945905,-0.027477860750308326,0.11025200295417448,-0.02500042310325783,0.047119869743122156,-0.028596550887218075,-0.0025982600690141688,0.06287867499535743,-0.01936572257871223,0.03923856959249918,-0.000456338326064909,-0.09089914278035456,-0.003193764806427124,0.06469089494347877,0.0006980775835764396,0.009915944041777614,0.04419615056421019
31,0.0030155081182692946,0.003197313112774225,-0.019463672839184487,0.015259817781193874,-0.14402818565998715,-0.2555317688616582,-0.07059515379972645,-0.03155534853692223,0.0411009290568793,-0.10305567285288945,0.04491616369296762,-0.03152054190249494,0.025910605972605683,0.005064925882926574,0.14246589835469864,0.01816880392594844,0.12090981932927114
32,-0.06699278771051491,-0.09004107217386133,0.6664069031126114,-0.049020666322770134,0.005716050306906339,-0.003274267978464307,0.008857581903236312,0.20092489783811046,-0.03566427885764267,0.0011507666492819757,0.0019671778659702487,-0.3519839265894032,-0.060731063993399045,0.12952783707547275,-0.002514054315077452,0.06223929986832246,0.0007885265584020917
33,0.0007991500116153683,0.000734737639926708,0.08833567385873356,0.0027461258911383513,0.05127693061932882,-0.020504982336748145,-0.009895672436392411,0.040295284943582275,0.009753281155800297,0.05904594134914717,-0.0008617523687437734,-0.03715272470758656,0.0014579323164866764,0.01994578340484975,0.024252725243453177,0.013972573836632063,0.058422734423491794
34,-0.089859180440316,-0.11470106887119225,0.2731377860146543,-0.07396375486647233,0.10267169800683387,-0.032230647337553354,0.03367684230175445,0.2231797996148507,-0.07699072412309646,0.1119210130722171,-0.011520662487896483,-0.2586660130102451,-0.026872848981084996,0.1039547019956979,-0.07496766631087766,0.04129105204517216,-0.076006508592489
35,-0.009435753261122403,-0.0060903277609817615,0.25028876852832216,-0.0016880168103065585,0.0728377426613918,-0.048324094145391606,-0.021221698459435757,0.003149886140962943,0.005201662492002368,0.0680015871774718,0.0067749868777180035,-0.03303782034438024,-0.026551052034943734,0.029952148228486998,0.003647552537113119,-0.0007516944222504595,0.0011880533755669665
36,-0.010037493039514345,-0.00917289436875306,0.44490459746573413,-0.008509671528513918,0.046811846746077676,-0.015309560804061772,-0.00836433040485598,0.17582083239868157,-0.0045645757241633556,0.040711404935597086,-0.011209135764599388,-0.04051092071715071,0.061880611205338,0.034245517045018894,9.131249608386182e-05,0.011119536278085929,0.004069443789807603
37,-0.005674933589016618,-0.006500047810012066,0.12117714091042542,-0.001854651274175012,0.10858388529408707,-0.001929284996601177,0.007908456141271392,0.028053234434884555,0.0026669883896846547,0.10422764349199717,-0.0032592850202229464,-0.06512393118695717,-0.035172979456689867,0.026451267656142106,0.06463432749641546,-0.0002679966797989652,0.0063587197493918165
38,-0.008250699773370318,-0.01384397869006282,-0.0035005879387193907,-0.012888534575318467,-0.13343673432478048,0.009854587069989162,-0.0067351874428709605,0.03830861433002723,-0.01715494967119191,-0.1080286215146113,0.03144063771339591,-0.03746889079233704,0.010469399799744549,-0.00018164133959308604,0.05481905546329498,0.061861828473373515,0.06011843652495978
39,-0.06749805216682894,-0.06264887577363962,0.02038812746295333,-0.0779373427989559,-0.1236344017541086,-0.04027621578928875,0.03938164455506212,0.10335334413324013,-0.10898379333679695,-0.15830487122167605,0.020945679354315506,0.004729911760265826,-0.16865230735577494,-0.10944024676386177,-0.2163033108415025,-0.14381344859760242,-0.2411501690706431
40,-0.04244980985390199,-0.03467862152339533,0.30483281218428254,-0.03212395889947258,0.03228064038510782,-0.04885490756026435,-0.058941951925854386,0.0585470617862008,-0.030196939707561144,0.028813063542649,0.0014692239442498423,-0.09437310885441731,-0.01722976579737424,0.07056030060811362,-0.011031091485599654,0.06096982973148152,-0.01954194449861727
41,-0.0018732855781261604,-0.00652789304919209,-0.018081583340283702,0.00035682186113182856,-0.05325570785734722,0.1095704370125564,-0.05278557930859236,-0.01807442024671998,0.02420587548217379,0.00856029897743249,0.015604864869821367,-0.025855184063784353,-0.06653530985034384,-0.012351533192217112,0.1516658788910728,-0.024391897179987486,0.11192430054159627
42,0.007839939227467018,0.004100259244671056,0.05069780487770904,0.009462425261975205,0.0607459077555619,-0.004592529480521001,-0.0006509964075282149,0.015029967591836502,0.01880124598729376,0.06185292014492936,-0.0002475410859288707,-0.007093709170966478,-0.0072548346207722105,0.010915086637270689,0.028850205382476114,0.01219412124660928,0.06810871883024004
43,0.05579060670293382,0.058917789492261494,-0.029703555421714066,0.06558531327230092,0.10975928664106109,-0.0028075887487922003,-0.09299192209234278,-0.07038749674856636,0.08353296845193672,0.15211504202213644,-0.012216534185097317,-0.06928441794909616,-0.013524235683450615,0.008020203471680521,0.11065144133734402,-0.02831652701504219,0.09086581176316835
44,-0.01052312696517852,-0.006671063329404337,0.15059129535964474,-0.009500826526000428,0.043266189867199656,-0.01536683484990583,-0.020803804328438258,-0.004655265154808697,-0.004337969815770337,0.0557269829610865,0.005087110143626084,-0.012403104299223955,0.0023299106959764116,0.05044479197519329,0.06234039167743939,0.03709495979706381,0.008585725435751267
45,-0.0007814130356983307,-0.0032669530351061016,0.10562910588966834,0.004432699884956726,0.09374845380003728,-0.0002029920849732858,0.008730127402990862,0.023132149685729787,0.00964920928276305,0.09606748171399832,-0.0019379933146568828,-0.06945497507122697,-0.009177962183994947,0.06900846640916378,0.007823872763909579,0.007625765526081696,0.005211945053026268
46,0.06666962005953225,0.06581080197331957,-0.14731655574427388,0.08693179199144511,-0.32699771607365774,-0.17718627812915694,-0.17261374142082972,-0.1660566469587479,0.0971349745135203,-0.27031742121968605,0.020823335093962503,-0.16700717614349977,0.008429706286148475,0.00905926314883707,0.19661153776253198,0.0005630947386531914,0.09667930013811203
47,-0.003547985854068758,0.002821993610868234,-0.0263015301760662,-0.014766995990608666,-0.18236678182238192,0.010857814997196059,0.0025812274701430328,0.018824013687516416,-0.0255902230239879,-0.15561247142667675,0.021762531702044396,-0.06380186695380588,-0.02153530075605955,0.0006733480088365051,0.04141396109401958,0.013955603849221964,-0.01863574873457612
48,5.6748104601278546e-05,0.003540816471046193,-0.04124353533999514,-0.0022705515446766133,-0.14310952049970765,0.04641186722206694,0.0008225062758685176,0.013880881279303581,-0.0027667484394149344,-0.12989927610547553,-0.012864826073912239,-0.14923510776842058,0.017908327105995013,0.025822004271371445,0.44519361084485026,0.012778172966759427,0.03965568417871028
49,-0.06616573093297615,-0.09397758857215244,0.41874611883879853,-0.03440390742086867,0.000826010823963741,0.0871903039706271,0.0540534540091546,0.17787803211435754,-0.0328737812879909,0.012300954861760815,-0.04910922545853098,-0.29129328898256135,-0.006772029246252776,0.0372113450257636,0.06963160717083997,0.005989888288447464,-0.047231969575347456
