Split,Ensemble_Average_PSA_Chloroform_ANI,Ensemble_Average_Num_IMHB_Chloroform_ANI,Ensemble_Average_RadiusOfGyration_Chloroform_ANI
1,-0.025902687987077046,0.20002590811897702,0.01981301162579936
2,0.10735549905961325,-0.19411841891245946,-0.10382748667904917
3,-0.050438969827188804,-0.1762125642592539,-0.1551609862502142
4,-0.4774568569453056,0.07204005885728677,-0.26446946935453125
5,-0.20360250772094107,0.2780324275729505,0.13772806836332885
6,-0.0006247993705510435,0.5194785807485294,-0.08500527592572182
7,-0.20330598798644223,0.04780349835425355,0.008942696692439411
8,-0.13020241718589468,0.06510465618552999,-0.28323054047044155
9,-0.16243018629803635,-0.04072995558036467,-0.00492603573027992
10,0.15063542038693067,0.067750706572282,-0.07073421836463623
11,-0.11846919877547943,-0.02013899399377277,0.06482672977665094
12,0.14715953013302524,0.13029030226982624,-0.004199592293043219
13,-0.12072119525713657,0.35811515910638614,0.2296102813095949
14,-0.002443601989384603,-0.10623391749025449,0.08650153766381408
15,0.08405083032909,-0.021913675862750216,0.0632421688138164
16,0.20960900585548967,-0.12094698304703504,0.14374324919026557
17,-0.02205593432771753,-0.27652793891448885,-0.4727293938345552
18,0.2905203826750232,0.0621766635971696,0.03084805422825988
19,0.13547369456435807,-0.38723697843090843,-0.21641392712921168
20,0.03988590186010725,0.015795695505522355,-0.05818148597706756
21,0.042117951824994004,-0.3792046705307145,-0.18041347227537738
22,-0.08530797094462635,-0.1189685507778194,-0.12170998196450207
23,0.00047060214511902566,0.05717058831535893,-0.07467336335863603
24,-0.07649351163543591,0.02285990631042074,-0.16315304424484492
25,0.04207383907258009,0.026222868279766675,0.04715532490345582
26,0.0685084446592363,-0.15069407142059527,0.08188957160205676
27,0.16146210731144822,0.11252561053285474,0.025612208780810754
28,-0.14115050209339744,-0.2524095238959247,0.25929105708030414
29,0.09052237600254517,0.22147403920335917,0.08565487933783174
30,0.10710548469334571,-0.011311767933582517,0.042337234114125225
31,-0.03865139898849594,0.035999196724498805,-0.04468980745935645
32,-0.4129851556881775,-0.06323276701547498,0.41917546031095565
33,0.032903911970441554,-0.20335051418254987,-0.11204226335996134
34,0.0473409027486976,0.036547370688643485,-0.0056229752199348
35,-0.17409344650207942,-0.2046464613764527,0.023681713592756126
36,0.051021525244123914,-0.1505577144695443,0.07172893694870228
37,0.030549171906975113,-0.01011727426751885,0.15383737045685764
38,0.06390402180390073,-0.08851404962644474,-0.05689325516868047
39,0.02173794659096573,-0.09675682803750743,-0.013324669182486471
40,-0.023515378244112317,-0.03796951274325885,-0.09478656531988314
41,-0.004704263803141861,0.09079800063068447,0.08632438723745946
42,0.424106670467635,-0.035110362259913395,-0.10097031859052039
43,0.04152769616100105,-0.058184159261138645,0.48101788640203863
44,-0.508479835022334,-0.08835456187823994,0.010598306640214484
45,0.22875107439342807,0.06407901804634933,0.32580599979206676
46,0.15603827347483695,0.02487810711752627,0.07822979467206988
47,0.06484567066172735,-0.18378427486039162,-0.4986653420626121
48,0.040800261098615606,0.4193199527573319,-0.005840000711493487
49,-0.08338164976498741,0.14240572287919329,0.20663510952037772
50,0.31153859206511114,0.0775981339219676,0.011341117624836116
51,-0.03349197227519143,-0.17738834680518767,-0.38603665517140345
52,-0.12731149782337442,0.062009968144642415,-0.0846653910809206
53,0.07316532086137069,-0.16279693810130366,-0.02977148075105669
54,0.17356935111430852,-0.2790271955665226,-0.11303500553293915
55,-0.04840695012585461,-0.01325111987248202,-0.3685255484442761
56,0.27607175313125554,0.16865126266471653,0.668633945052054
57,-0.09921799233520875,0.311669960243499,0.3897169751339022
58,-0.27869621390841204,-0.03419257874257782,-0.4018874129525532
59,-0.20849354084710692,-0.23974250307923156,-0.16958762352546713
60,0.02354972311817185,0.04798923678918865,-0.004922091650756455
61,0.6217590179637051,0.0004347987238093154,0.07236483623662951
62,-0.09165603301372029,-0.06583663263435155,0.04691777583866628
63,0.15746665786454755,-0.19357960243938627,-0.09256976443192236
64,0.07494340539693252,0.12814221084159882,-0.4009424527655684
65,-0.177132309045897,-0.1651324649096144,0.08895225710081771
66,-0.09827650902319385,-0.0017843460488464967,0.17466336705903474
67,0.08520936124925696,0.009576681833976808,0.004577251615090483
68,0.024788164601198724,0.3958629475798948,0.03422743477286083
69,-0.8310606783944209,-0.9064398560140209,-0.5087356213729475
70,0.19341966076193862,-0.0002404399424469794,-0.034676791090302486
71,-0.19076325237626995,-0.14441298465598873,0.3620373933920885
72,-0.02467161475069608,0.06169102149132577,-0.015647982372237967
73,-0.02424401781894987,-0.012415366897342416,-0.13669137124745578
74,0.2878681148924108,-0.07868881962848591,0.04563002071198119
75,-0.13683751102954794,0.010692016334880972,0.10224941657395617
76,-0.11825255246344524,-0.24485826773386954,0.0915874424656293
77,0.001958680817795788,-0.023704370504572504,-0.023286937838871834
78,-0.013870335576988035,0.3763375865870878,0.1610098740755868
79,-0.06599718549711071,-0.05315730205123494,-0.09785302742451682
80,0.31033624313483327,-0.11798786209195075,-0.1664473572512291
81,0.01885575534758368,0.010932660232749258,0.08344784118737218
82,0.029039874998927916,0.11893186592758301,-0.02760901132789495
83,0.016378774418637887,0.0896448045251469,-0.11244963107480661
84,0.07552900367991103,0.10476176566627673,0.1443694344957436
85,-0.037568459353297626,-0.003924020961053432,-0.0588269527058458
86,0.429154698225127,0.18341243380895397,-0.08751880558895997
87,-0.5626117211254232,-0.31192975685107094,-0.06475500417258254
88,-0.08004573250335512,-0.5703080625285714,0.05563061568530352
89,0.007393004715127461,0.3001220623342437,0.2821749341521326
90,-0.2564376263326074,-0.12328121032075771,0.05811291308598974
91,0.02530028111602456,0.09691805311904352,-0.001104896342952233
92,0.22861499909473587,-0.08587599375698585,0.04492375995191281
93,-0.017554502816370367,0.0198211311632839,0.594659845119883
94,0.11358707209430408,0.18643723895387676,0.10256293758405999
95,-0.10266022550108564,-0.050379844814530596,0.07352308227799034
96,-0.16989218150513,-0.21004332506563736,-0.041621226889789684
97,-0.10460438021217869,-0.2777522448712849,0.041448148261355275
98,-1.1340453364316319,-1.2407738096789938,0.31846121122760673
99,0.31985343192072535,-0.025274517335846736,0.29981678077561724
100,-0.003759171374853687,0.12195206143030028,0.017780819604808727
